"id","product_id","quantity","color","size","weight","price_cents","sale_price_cents","cost_cents","sku","length","width","height","note"
191,9128,15,"Grey","M",7,1883,1683,1668,"ZTYCYE",2,2,3,""
192,1089,3,"Black","XXL",8,2974,2774,2089,"EUUDZW",8,8,3,""
193,931,12,"Pink","M",2,3104,2904,2528,"JEZCSX",8,9,4,""
194,5007,19,"Metallic Red","S",0,1813,1613,978,"XZGUXR",7,3,2,""
195,5194,14,"Blue","XXL",8,3225,3025,3031,"WKXTOK",3,2,8,""
196,4003,26,"Green","XS",7,2094,1894,1889,"FGKSPD",4,7,4,""
197,2777,8,"Green","XL",6,3122,2922,2700,"KYXHPG",7,4,5,""
198,4521,32,"Metallic Red","XS",5,2380,2180,1494,"BYDKEJ",3,8,2,""
199,7964,21,"Black","XL",9,1028,828,398,"LTPPOK",3,7,6,""
200,9866,27,"Steel Blue","XXL",5,2349,2149,1578,"QNZPVD",2,2,5,""
201,1514,34,"Light Grey","S",9,2677,2477,2152,"HXTXPD",6,7,6,""
202,2121,10,"Checkered","XXL",5,2815,2615,2632,"SJYSPB",5,4,9,""
203,3023,31,"Blue","XXL",8,967,767,651,"DNRNKR",8,4,9,""
204,5448,10,"Blue","S",3,1137,937,953,"KYXSLP",7,4,7,""
205,5481,21,"Pink","XL",6,3133,2933,2316,"HHFGXP",4,9,5,""
206,267,6,"Light Grey","M",8,2288,2088,1700,"TJWIVW",6,6,9,""
207,6498,19,"Steel Blue","S",2,1960,1760,1174,"VQULGK",2,3,5,""
208,6032,6,"Black","M",4,1742,1542,1298,"XWPKOI",5,5,6,""
209,3201,6,"Black","XXL",2,1968,1768,1489,"VXLXDU",3,7,8,""
210,1649,37,"Pink","XS",7,1516,1316,710,"HAEYJS",9,5,4,""
211,5495,27,"Steel Blue","M",9,2162,1962,1796,"HGEAGT",8,8,3,""
212,901,4,"Pink","XS",9,1152,952,696,"QGWXMY",8,8,3,""
213,1035,21,"Checkered","XS",5,3352,3152,3175,"KPYZRE",7,9,8,""
214,9104,30,"Blue","L",8,1593,1393,1075,"OMFCYZ",4,8,5,""
215,6693,7,"Light Grey","XS",5,3244,3044,2850,"JBGJJQ",5,5,4,""
216,6753,2,"Black","M",0,2413,2213,1950,"LLDUKN",6,7,6,""
217,2555,14,"Purple","S",1,2474,2274,2054,"HWYDGT",9,5,6,""
218,1606,34,"Black","XL",0,1533,1333,993,"UVBWKA",5,9,4,""
219,8741,20,"Dark Blue","XS",3,2760,2560,2349,"UJSYFR",8,4,9,""
220,9384,2,"Light Grey","XL",7,2599,2399,1998,"GBYBQN",4,8,5,""
221,7089,38,"Cherry Red","L",8,1650,1450,787,"IZIZPP",6,6,6,""
222,2398,24,"Checkered","S",4,3399,3199,2527,"XDAAGA",5,4,7,""
223,1272,13,"Steel Blue","L",5,2762,2562,2229,"EWPGNN",7,8,4,""
224,4000,14,"Dark Blue","L",2,1353,1153,680,"KVRYGB",8,9,8,""
225,2063,18,"Dark Blue","XL",9,2748,2548,2353,"IGPTCY",2,3,2,""
226,8169,31,"Steel Blue","S",1,2242,2042,1829,"RDNKTH",4,8,5,""
227,5669,35,"Checkered","S",2,1646,1446,852,"QJOKZF",3,7,2,""
228,7936,36,"Black","M",0,3499,3299,2664,"ZWOFZX",7,3,8,""
229,8104,11,"Cherry Red","M",8,1780,1580,1484,"ZOEVWQ",8,9,6,""
230,7521,2,"Steel Blue","XXL",4,948,748,159,"CPYDYE",2,2,5,""
231,1142,12,"Green","XXL",6,2481,2281,1701,"ILAHGW",2,7,7,""
232,7256,2,"Pink","XXL",2,2921,2721,2441,"FHIHLH",9,9,7,""
233,7585,5,"Beige","XS",5,3315,3115,3005,"SUYCXS",7,6,2,""
234,342,22,"Blue","XL",0,3132,2932,2730,"MMJKHI",2,3,7,""
235,628,19,"Metallic Red","XL",3,3239,3039,3021,"HKXRGA",6,6,9,""
236,7070,22,"Pink","XS",3,1968,1768,1684,"TDATQH",2,2,5,""
237,4006,36,"Checkered","XL",0,3230,3030,3022,"JITPMQ",7,5,4,""
238,8157,28,"Pink","S",3,1986,1786,1406,"ZZAWIA",7,3,2,""
239,4565,36,"Cherry Red","XXL",2,3440,3240,2632,"XOBUCD",4,9,8,""
240,4869,9,"Beige","XXL",4,1589,1389,1121,"KUQUQU",7,6,6,""
241,7585,16,"Blue","XXL",7,2585,2385,2215,"SLNLRQ",4,8,5,""
242,5753,12,"Blue","XXL",5,3287,3087,3097,"YSTGEE",9,6,3,""
243,3782,37,"Purple","XXL",3,1980,1780,1824,"YVREUA",8,8,3,""
244,6406,17,"Dark Blue","XL",4,3236,3036,2888,"JYQYWG",9,3,3,""
245,5490,11,"Metallic Red","XS",2,3072,2872,2181,"ZGUHHP",9,9,8,""
246,8920,14,"Dark Blue","XS",4,3238,3038,2728,"LEEEXO",8,6,2,""
247,475,36,"Metallic Red","M",2,2080,1880,1799,"KMAHPS",5,2,5,""
248,4041,24,"Blue","L",3,2960,2760,2268,"QWUKXV",2,2,5,""
249,8756,4,"Blue","XL",4,2242,2042,1877,"LAZNAH",9,9,6,""
250,7023,33,"Orange","XXL",9,3247,3047,2843,"RXOCDK",9,5,4,""
251,1619,20,"Cherry Red","XS",3,2644,2444,1964,"QWDQBK",4,4,7,""
252,6215,23,"Cherry Red","XL",7,2041,1841,1451,"XJXQII",7,6,2,""
253,8012,27,"Purple","M",5,1320,1120,1009,"ZAWNYJ",9,9,6,""
254,7624,28,"Cherry Red","S",3,1689,1489,1290,"AFQEIE",2,3,2,""
255,7890,8,"Steel Blue","L",6,1581,1381,1363,"GXSPWA",5,9,5,""
256,2130,9,"Beige","XXL",9,1082,882,323,"ESEISI",4,4,7,""
257,7213,9,"Orange","XL",0,1402,1202,1272,"WTJFEX",3,3,9,""
