"id","product_name","description","style","brand","created_at","updated_at","url","product_type","shipping_price","note","admin_id"
78,"Girl next door Hat","Girl next door Hat is an amazing Hat Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Girl next door","Ted Baker","2018-12-19 18:47:42","2019-01-28 00:16:41","","clothing",1475,"",33
79,"Sports Wear Headphones","Sports Wear Headphones is an amazing Headphones Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Sports Wear","Won Hundred","2018-07-27 19:58:25","2018-08-08 09:20:14","","clothing",785,"",36
80,"Preppy T-Shirt","Preppy T-Shirt is an amazing T-Shirt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Preppy","Emerica","2018-03-08 09:22:36","2018-10-21 10:20:13","","clothing",738,"",39
81,"Punk Poncho","Punk Poncho is an amazing Poncho Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Punk","Neon Buddha","2019-01-30 12:04:40","2019-02-24 19:27:28","","clothing",1267,"",59
82,"Military Undershirt","Military Undershirt is an amazing Undershirt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Military","Jack Rogers","2018-11-18 07:47:49","2018-12-04 06:39:54","","clothing",831,"",48
83,"Flamboyant Cardigan","Flamboyant Cardigan is an amazing Cardigan Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Flamboyant","Emilia Wickstead","2018-05-11 02:45:28","2018-11-24 23:37:23","","clothing",1168,"",31
84,"Vacation Lipstick","Vacation Lipstick is an amazing Lipstick Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Vacation","Brandon Maxwell","2019-02-25 12:32:51","2019-02-27 02:11:06","","clothing",812,"",55
85,"Boho/Bohemian chic Helmet","Boho/Bohemian chic Helmet is an amazing Helmet Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Boho/Bohemian chic","Dr. Scholls","2019-01-03 14:06:17","2019-01-24 12:57:13","","clothing",904,"",43
86,"Hip Hop Cap","Hip Hop Cap is an amazing Cap Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Hip Hop","Alberta Ferretti","2018-01-06 19:59:32","2018-11-23 15:14:05","","clothing",1412,"",62
87,"Girl next door Kilt","Girl next door Kilt is an amazing Kilt Product...Lorem ipsum dolor sit amet, ne est diceret platonem, ius viris fabulas ea. Amet elit putent ea sit, per accumsan verterem cu.","Girl next door","Fay","2018-01-02 09:19:03","2019-01-09 17:08:56","","clothing",945,"",23
